epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.051,0.79466,2.81353,1.21566,0.47619,0.70951,0.59561,0.42091,1.10017,2.51256,1.23911,0.000206706,0.000206706,0.000206706
2,356.482,0.70277,1.58412,1.10323,0.53418,0.74714,0.69315,0.49058,0.86972,1.48537,1.1749,0.000406821,0.000406821,0.000406821
3,516.509,0.69673,1.21681,1.09594,0.74897,0.70842,0.80057,0.58857,1.00572,1.31227,1.18343,0.000598687,0.000598687,0.000598687
4,650.194,0.69434,1.07961,1.07791,0.71752,0.65452,0.757,0.547,1.02546,1.48408,1.20081,0.000587875,0.000587875,0.000587875
5,810.961,0.64082,0.97324,1.06479,0.70063,0.64228,0.74667,0.518,0.90153,1.12064,1.19316,0.0005755,0.0005755,0.0005755
6,997.991,0.63487,0.89066,1.05321,0.59013,0.74751,0.75811,0.61812,0.69926,0.99423,1.00675,0.000563125,0.000563125,0.000563125
7,1190.35,0.61675,0.83798,1.0363,0.83435,0.59817,0.59634,0.4483,0.7697,0.77372,1.05281,0.00055075,0.00055075,0.00055075
8,1397.37,0.6081,0.7671,1.04937,0.85438,0.71138,0.78537,0.61408,0.90743,0.86549,1.09835,0.000538375,0.000538375,0.000538375
9,1618.49,0.57667,0.69533,1.02067,0.86451,0.6298,0.70643,0.57228,0.61622,0.728,0.96177,0.000526,0.000526,0.000526
10,1794.54,0.56581,0.6655,1.01145,0.8098,0.74001,0.80427,0.61154,0.78084,0.78566,1.04987,0.000513625,0.000513625,0.000513625
11,1987.32,0.56028,0.65447,1.01784,0.85194,0.84571,0.90381,0.75356,0.72463,0.69552,0.97373,0.00050125,0.00050125,0.00050125
12,2210.88,0.54883,0.60636,1.00877,0.82759,0.71571,0.8187,0.65921,0.71256,0.60182,0.99459,0.000488875,0.000488875,0.000488875
13,2413.74,0.54058,0.58081,1.00287,0.81097,0.70522,0.72334,0.55928,0.72867,0.62842,1.01881,0.0004765,0.0004765,0.0004765
